reE,imE,inv_abs_det
0.7169696969696969,-8.636363636363637,5.0020159513080606e-5
0.7169696969696969,-8.484848484848484,5.656158034304888e-5
0.7169696969696969,-8.333333333333334,6.400223460602047e-5
0.7169696969696969,-8.181818181818182,7.247259848281019e-5
0.7169696969696969,-8.030303030303031,8.212326002322853e-5
0.7169696969696969,-7.878787878787879,9.312824311636425e-5
0.7169696969696969,-7.7272727272727275,0.00010568892742918797
0.7169696969696969,-7.575757575757576,0.00012003868166242942
0.7169696969696969,-7.424242424242424,0.00013644835309535434
0.7169696969696969,-7.2727272727272725,0.0001552327882446804
0.7169696969696969,-7.121212121212121,0.0001767585992323614
0.7169696969696969,-6.96969696969697,0.00020145344033353375
0.7169696969696969,-6.818181818181818,0.00022981712202096356
0.7169696969696969,-6.666666666666667,0.00026243496939819206
0.7169696969696969,-6.515151515151516,0.000299993933193533
0.7169696969696969,-6.363636363636363,0.00034330209108671096
0.7169696969696969,-6.212121212121212,0.0003933123439222236
0.7169696969696969,-6.0606060606060606,0.0004511513272756843
0.7169696969696969,-5.909090909090909,0.0005181548401173832
0.7169696969696969,-5.757575757575758,0.0005959114611841878
0.7169696969696969,-5.606060606060606,0.0006863165108041266
0.7169696969696969,-5.454545454545454,0.000791639164029443
0.7169696969696969,-5.303030303030303,0.000914606390045202
0.7169696969696969,-5.151515151515151,0.0010585085681022969
0.7169696969696969,-5.0,0.001227333233812146
0.7169696969696969,-4.848484848484849,0.0014259356186268335
0.7169696969696969,-4.696969696969697,0.0016602577195871987
0.7169696969696969,-4.545454545454546,0.0019376119622017203
0.7169696969696969,-4.393939393939394,0.0022670516786538002
0.7169696969696969,-4.242424242424242,0.0026598595066160873
0.7169696969696969,-4.090909090909091,0.0031301978042759305
0.7169696969696969,-3.9393939393939394,0.00369598446278618
0.7169696969696969,-3.787878787878788,0.004380086604969352
0.7169696969696969,-3.6363636363636362,0.005211969392507824
0.7169696969696969,-3.484848484848485,0.006230007294574934
0.7169696969696969,-3.3333333333333335,0.007484777570441061
0.7169696969696969,-3.1818181818181817,0.00904384034353882
0.7169696969696969,-3.0303030303030303,0.010998821371579719
0.7169696969696969,-2.878787878787879,0.013476156565316746
0.7169696969696969,-2.727272727272727,0.01665383703700471
0.7169696969696969,-2.5757575757575757,0.020788334666656465
0.7169696969696969,-2.4242424242424243,0.026259515574753166
0.7169696969696969,-2.272727272727273,0.03364890321511181
0.7169696969696969,-2.121212121212121,0.04388346357319696
0.7169696969696969,-1.9696969696969697,0.05851763737366706
0.7169696969696969,-1.8181818181818181,0.08033451282312608
0.7169696969696969,-1.6666666666666667,0.11477533958540843
0.7169696969696969,-1.5151515151515151,0.17389133778619054
0.7169696969696969,-1.3636363636363635,0.28998112091649003
0.7169696969696969,-1.2121212121212122,0.5830274331208551
0.7169696969696969,-1.0606060606060606,1.806943421426834
0.7169696969696969,-0.9090909090909091,1.4881914867741144
0.7169696969696969,-0.7575757575757576,0.8408983517334128
0.7169696969696969,-0.6060606060606061,0.6689244106317842
0.7169696969696969,-0.45454545454545453,0.6240062386209727
0.7169696969696969,-0.30303030303030304,0.6428959634604985
0.7169696969696969,-0.15151515151515152,0.7134568649862156
0.7169696969696969,0.0,0.8396185029533886
1.4239393939393938,-15.0,6.697671181259449e-7
1.4239393939393938,-14.848484848484848,7.428625677065024e-7
1.4239393939393938,-14.696969696969697,8.242533517458553e-7
1.4239393939393938,-14.545454545454545,9.14918330290006e-7
1.4239393939393938,-14.393939393939394,1.0159564681328812e-6
1.4239393939393938,-14.242424242424242,1.128602160285319e-6
1.4239393939393938,-14.090909090909092,1.254242591691136e-6
1.4239393939393938,-13.93939393939394,1.394437412204634e-6
1.4239393939393938,-13.787878787878787,1.5509410482762912e-6
1.4239393939393938,-13.636363636363637,1.7257280192840857e-6
1.4239393939393938,-13.484848484848484,1.9210216799597356e-6
1.4239393939393938,-13.333333333333334,2.1393268719876944e-6
1.4239393939393938,-13.181818181818182,2.383467038892067e-6
1.4239393939393938,-13.030303030303031,2.656626440279626e-6
1.4239393939393938,-12.878787878787879,2.9623981961208073e-6
1.4239393939393938,-12.727272727272727,3.3048390010916757e-6
1.4239393939393938,-12.575757575757576,3.6885314754533573e-6
1.4239393939393938,-12.424242424242424,4.1186552653399345e-6
1.4239393939393938,-12.272727272727273,4.601068174944889e-6
1.4239393939393938,-12.121212121212121,5.142398809851502e-6
1.4239393939393938,-11.969696969696969,5.750152439153613e-6
1.4239393939393938,-11.818181818181818,6.4328320494983325e-6
1.4239393939393938,-11.666666666666666,7.2000768730511635e-6
1.4239393939393938,-11.515151515151516,8.06282103113387e-6
1.4239393939393938,-11.363636363636363,9.033475354838059e-6
1.4239393939393938,-11.212121212121213,1.0126135933705551e-5
1.4239393939393938,-11.06060606060606,1.1356823516214815e-5
1.4239393939393938,-10.909090909090908,1.2743758556033389e-5
1.4239393939393938,-10.757575757575758,1.4307677483710119e-5
1.4239393939393938,-10.606060606060606,1.6072196705715594e-5
1.4239393939393938,-10.454545454545455,1.8064231916994386e-5
1.4239393939393938,-10.303030303030303,2.031448158986138e-5
1.4239393939393938,-10.151515151515152,2.2857985007833004e-5
1.4239393939393938,-10.0,2.5734766992010425e-5
1.4239393939393938,-9.848484848484848,2.8990583573349602e-5
1.4239393939393938,-9.696969696969697,3.2677785361335195e-5
1.4239393939393938,-9.545454545454545,3.685631832695689e-5
1.4239393939393938,-9.393939393939394,4.159488525139221e-5
1.4239393939393938,-9.242424242424242,4.6972295308839126e-5
1.4239393939393938,-9.090909090909092,5.307903429638256e-5
1.4239393939393938,-8.93939393939394,6.001909407268721e-5
1.4239393939393938,-8.787878787878787,6.791210703929126e-5
1.4239393939393938,-8.636363636363637,7.689584026399597e-5
1.4239393939393938,-8.484848484848484,8.712911444184834e-5
1.4239393939393938,-8.333333333333334,9.879522573521667e-5
1.4239393939393938,-8.181818181818182,0.00011210596415594265
1.4239393939393938,-8.030303030303031,0.00012730634121034133
1.4239393939393938,-7.878787878787879,0.0001446801628547827
