k,amp
2.84,0.9999525913593839
2.85,0.9999223513852862
2.86,0.999885245695676
2.87,0.9998415776711999
2.88,0.9997916507090308
2.89,0.9997357678732937
2.9,0.9996742315530375
2.91,0.9996073431280619
2.92,0.9995354026428847
2.93,0.9994587084891048
2.94,0.999377557096408
2.95,0.9992922426324305
2.96,0.9992030567116796
2.97,0.9991102881136805
2.98,0.9990142225105236
2.99,0.9989151422039261
3.0,0.9988133258719459
3.01,0.998709048325434
3.02,0.9986025802743108
3.03,0.998494188103729
3.04,0.9983841336601695
3.05,0.9982726740474983
3.06,0.9981600614330046
3.07,0.9980465428634085
3.08,0.9979323600908375
3.09,0.9978177494087282
3.1,0.9977029414976253
3.11,0.9975881612808112
3.12,0.99747362778971
3.13,0.9973595540389879
3.14,0.9972461469112524
3.15,0.9971336070512697
3.16,0.997022128769581
3.17,0.9969118999554093
3.18,0.9968031019987311
3.19,0.9966959097213897
3.2,0.9965904913170981
3.21,0.9964870083002113
3.22,0.9963856154630957
3.23,0.9962864608419569
3.24,0.996189685690962
3.25,0.9960954244644944
3.26,0.9960038048073723
3.27,0.9959149475528575
3.28,0.9958289667282941
3.29,0.9957459695681798
3.3,0.995666056534511
3.31,0.995589321344207
3.32,0.9955158510034378
3.33,0.99544572584867
3.34,0.9953790195942418
3.35,0.995315799386286
3.36,0.9952561258628092
3.37,0.995200053219745
3.38,0.9951476292827839
3.39,0.9950988955848037
3.4,0.9950538874486968
3.41,0.9950126340754234
3.42,0.994975158637085
3.43,0.9949414783748441
3.44,0.9949116047014931
3.45,0.9948855433084869
3.46,0.9948632942772606
3.47,0.9948448521946328
3.48,0.9948302062721158
3.49,0.994819340468953
3.5,0.9948122336186863
3.51,0.9948088595590857
3.52,0.994809187265241
3.53,0.9948131809856487
3.54,0.9948208003811082
3.55,0.994832000666237
3.56,0.9948467327534462
3.57,0.9948649433991743
3.58,0.9948865753522218
3.59,0.9949115675039931
3.6,0.9949398550404825
3.61,0.9949713695958234
3.62,0.9950060394072221
3.63,0.9950437894711157
3.64,0.9950845417003694
3.65,0.9951282150823461
3.66,0.9951747258376841
3.67,0.9952239875796044
3.68,0.995275911473585
3.69,0.9953304063972361
3.7,0.9953873791002107
3.71,0.9954467343639821
3.72,0.9955083751613338
3.73,0.9955722028153917
3.74,0.9956381171580475
3.75,0.9957060166876073
3.76,0.9957757987255187
3.77,0.9958473595720124
3.78,0.9959205946605112
3.79,0.9959953987106597
3.8,0.9960716658798158
3.81,0.9961492899128702
3.82,0.996228164290241
3.83,0.9963081823739117
3.84,0.9963892375513654
3.85,0.9964712233772861
3.86,0.9965540337128923
3.87,0.9966375628627739
3.88,0.9967217057091098
3.89,0.9968063578431366
3.9,0.9968914156937558
3.91,0.9969767766531612
3.92,0.9970623391993786
3.93,0.9971480030156014
3.94,0.997233669106231
3.95,0.9973192399095132
3.96,0.9974046194066788
3.97,0.9974897132275016
3.98,0.9975744287521817
3.99,0.9976586752094788
4.0,0.9977423637710163
4.01,0.997825407641689
4.02,0.9979077221461007
4.03,0.9979892248109832
4.04,0.9980698354435299
4.05,0.9981494762056
4.06,0.9982280716837493
4.07,0.9983055489550434
4.08,0.9983818376486282
4.09,0.9984568700030232
4.1,0.998530580919117
4.11,0.9986029080088503
4.12,0.9986737916395785
4.13,0.9987431749740989
4.14,0.9988110040063594
4.15,0.9988772275928355
4.16,0.9989417974796096
4.17,0.9990046683251534
4.18,0.9990657977188434
4.19,0.9991251461952435
4.2,0.9991826772441805
4.21,0.9992383573166574
4.22,0.9992921558266561
4.23,0.9993440451488613
4.24,0.9993940006123878
4.25,0.9994420004905501
4.26,0.9994880259867511
4.27,0.9995320612165577
4.28,0.9995740931860395
4.29,0.9996141117664485
4.3,0.9996521096653259
4.31,0.9996880823941235
4.32,0.9997220282324283
4.33,0.9997539481888954
4.34,0.9997838459589766
4.35,0.9998117278795573
4.36,0.9998376028806012
4.37,0.9998614824339187
4.38,0.9998833804991621
4.39,0.999903313467172
4.4,0.9999213001007808
4.41,0.9999373614732026
4.42,0.9999515209041231
4.43,0.9999638038936163
4.44,0.9999742380540084
4.45,0.9999828530398193
4.46,0.9999896804759008
4.47,0.9999947538839095
4.48,0.9999981086072278
4.49,0.9999997817344778
4.5,0.9999998120217405
4.51,0.9999982398136227
4.52,0.9999951069632895
4.53,0.999990456751597
4.54,0.9999843338054467
4.55,0.9999767840154971
4.56,0.9999678544533431
4.57,0.9999575932883069
4.58,0.9999460497039427
4.59,0.9999332738143962
4.6,0.9999193165807209
4.61,0.9999042297272844
4.62,0.9998880656583682
4.63,0.999870877375085
4.64,0.9998527183927144
4.65,0.9998336426585804
4.66,0.9998137044705593
4.67,0.9997929583963368
4.68,0.999771459193512
4.69,0.9997492617306379
4.7,0.9997264209093077
4.71,0.9997029915873672
4.72,0.9996790285033481
4.73,0.9996545862022105
4.74,0.9996297189624708
4.75,0.9996044807247999
4.76,0.9995789250221646
4.77,0.999553104911586
4.78,0.9995270729075865
4.79,0.9995008809173852
4.8,0.9994745801779104
4.81,0.9994482211946825
4.82,0.9994218536826263
4.83,0.9993955265088625
4.84,0.9993692876375271
4.85,0.9993431840766607
4.86,0.9993172618272117
4.87,0.9992915658341924
4.88,0.9992661399400145
4.89,0.99924102684004
4.9,0.9992162680403773
4.91,0.9991919038179364
4.92,0.999167973182773
4.93,0.999144513842731
4.94,0.9991215621704028
4.95,0.9990991531724114
4.96,0.9990773204610268
4.97,0.9990560962281145
4.98,0.9990355112214262
4.99,0.9990155947232147
5.0,0.9989963745311834
5.01,0.9989778769417583
5.02,0.9989601267356552
5.03,0.9989431471657555
5.04,0.9989269599472486
5.05,0.9989115852500376
5.06,0.9988970416933785
5.07,0.9988833463427251
5.08,0.9988705147087662
5.09,0.9988585607486108
5.1,0.9988474968690911
5.11,0.9988373339321608
5.12,0.9988280812623413
5.13,0.9988197466561757
5.14,0.9988123363936614
5.15,0.9988058552516105
5.16,0.998800306518891
5.17,0.9987956920135121
5.18,0.9987920121015006
5.19,0.9987892657175139
5.2,0.9987874503871517
5.21,0.9987865622508989
5.22,0.9987865960896584
5.23,0.9987875453518094
5.24,0.9987894021817427
5.25,0.9987921574498072
5.26,0.9987958007836178
5.27,0.9988003206006577
5.28,0.9988057041421201
5.29,0.9988119375079211
5.3,0.998819005692833
5.31,0.9988268926236636
5.32,0.9988355811974243
5.33,0.9988450533204228
5.34,0.998855289948214
5.35,0.9988662711263504
5.36,0.998877976031853
5.37,0.9988903830153623
5.38,0.998903469643871
5.39,0.9989172127440124
5.4,0.9989315884457974
5.41,0.9989465722267732
5.42,0.9989621389565132
5.43,0.9989782629413825
5.44,0.998994917969521
5.45,0.999012077355963
5.46,0.9990297139878538
5.47,0.9990478003696763
5.48,0.9990663086684447
5.49,0.9990852107587913
5.5,0.999104478267895
