E,redet,imdet
-15.72,-7.433576975907706e-10,0.0
-15.71,-2.002297914134735e-9,0.0
-15.7,-3.27043752151231e-9,0.0
-15.69,-4.547694304172042e-9,0.0
-15.68,-5.8339849517231625e-9,0.0
-15.67,-7.129225059767377e-9,0.0
-15.66,-8.433329130778063e-9,0.0
-15.65,-9.746210574988908e-9,0.0
-15.64,-1.1067781711320466e-8,0.0
-15.63,-1.2397953768329234e-8,0.0
-15.62,-1.3736636885185535e-8,0.0
-15.61,-1.508374011268138e-8,0.0
-15.6,-1.6439171414260995e-8,0.0
-15.59,-1.780283766708299e-8,0.0
-15.58,-1.917464466311654e-8,0.0
-15.57,-2.0554497110252448e-8,0.0
-15.56,-2.1942298633455973e-8,0.0
-15.55,-2.3337951775940646e-8,0.0
-15.54,-2.4741358000377672e-8,0.0
-15.53,-2.6152417690128695e-8,0.0
-15.52,-2.7571030150512817e-8,0.0
-15.51,-2.89970936100982e-8,0.0
-15.5,-3.043050522203128e-8,0.0
-15.49,-3.18711610653906e-8,0.0
-15.48,-3.331895614657164e-8,0.0
-15.47,-3.47737844007023e-8,0.0
-15.46,-3.6235538693094204e-8,0.0
-15.45,-3.770411082071959e-8,0.0
-15.44,-3.917939151371766e-8,0.0
-15.43,-4.066127043694058e-8,0.0
-15.42,-4.21496361915276e-8,0.0
-15.41,-4.364437631650532e-8,0.0
-15.4,-4.5145377290428284e-8,0.0
-15.39,-4.665252453305173e-8,0.0
-15.38,-4.8165702407026986e-8,0.0
-15.37,-4.9684794219646335e-8,0.0
-15.36,-5.120968222460512e-8,0.0
-15.35,-5.2740247623805835e-8,0.0
-15.34,-5.427637056919586e-8,0.0
-15.33,-5.581793016463454e-8,0.0
-15.32,-5.736480446780119e-8,0.0
-15.31,-5.891687049212592e-8,0.0
-15.3,-6.047400420877057e-8,0.0
-15.29,-6.203608054863221e-8,0.0
-15.28,-6.360297340438365e-8,0.0
-15.27,-6.517455563255802e-8,0.0
-15.26,-6.67506990556549e-8,0.0
-15.25,-6.833127446429135e-8,0.0
-15.24,-6.991615161939339e-8,0.0
-15.23,-7.15051992544107e-8,0.0
-15.22,-7.309828507757501e-8,0.0
-15.21,-7.46952757741958e-8,0.0
-15.2,-7.629603700899698e-8,0.0
-15.19,-7.79004334284777e-8,0.0
-15.18,-7.950832866332334e-8,0.0
-15.17,-8.111958533085219e-8,0.0
-15.16,-8.273406503749503e-8,0.0
-15.15,-8.435162838131113e-8,0.0
-15.14,-8.59721349545567e-8,0.0
-15.13,-8.759544334628082e-8,0.0
-15.12,-8.922141114495347e-8,0.0
-15.11,-9.08498949411549e-8,0.0
-15.1,-9.2480750330284e-8,0.0
-15.09,-9.411383191531439e-8,0.0
-15.08,-9.574899330959238e-8,0.0
-15.07,-9.73860871396782e-8,0.0
-15.06,-9.902496504821142e-8,0.0
-15.05,-1.0066547769684037e-7,0.0
-15.04,-1.023074747691761e-7,0.0
-15.03,-1.0395080497379403e-7,0.0
-15.02,-1.0559531604727633e-7,0.0
-15.01,-1.0724085475729718e-7,0.0
-15.0,-1.0888726690575139e-7,0.0
-14.99,-1.1053439733192336e-7,0.0
-14.98,-1.1218208991569459e-7,0.0
-14.97,-1.1383018758081012e-7,0.0
-14.96,-1.1547853229816356e-7,0.0
-14.95,-1.1712696508915585e-7,0.0
-14.94,-1.1877532602907128e-7,0.0
-14.93,-1.204234542505118e-7,0.0
-14.92,-1.2207118794687322e-7,0.0
-14.91,-1.2371836437586954e-7,0.0
-14.9,-1.2536481986309287e-7,0.0
-14.89,-1.270103898056308e-7,0.0
-14.88,-1.2865490867572172e-7,0.0
-14.87,-1.3029821002445851e-7,0.0
-14.86,-1.3194012648553806e-7,0.0
-14.85,-1.3358048977906e-7,0.0
-14.84,-1.3521913071536973e-7,0.0
-14.83,-1.3685587919895208e-7,0.0
-14.82,-1.384905642323625e-7,0.0
-14.81,-1.4012301392022412e-7,0.0
-14.8,-1.417530554732579e-7,0.0
-14.79,-1.4338051521236603e-7,0.0
-14.78,-1.4500521857276555e-7,0.0
-14.77,-1.4662699010816978e-7,0.0
-14.76,-1.4824565349502416e-7,0.0
-14.75,-1.4986103153677936e-7,0.0
-14.74,-1.5147294616823142e-7,0.0
-14.73,-1.530812184598962e-7,0.0
-14.72,-1.5468566862245068e-7,0.0
-14.71,-1.5628611601120894e-7,0.0
-14.7,-1.5788237913066291e-7,0.0
-14.69,-1.594742756390701e-7,0.0
-14.68,-1.6106162235308849e-7,0.0
-14.67,-1.6264423525247484e-7,0.0
-14.66,-1.6422192948482586e-7,0.0
-14.65,-1.6579451937037676e-7,0.0
-14.64,-1.6736181840685509e-7,0.0
-14.63,-1.689236392743822e-7,0.0
-14.62,-1.7047979384043897e-7,0.0
-14.61,-1.7203009316487394e-7,0.0
-14.6,-1.7357434750497865e-7,0.0
-14.59,-1.7511236632060617e-7,0.0
-14.58,-1.7664395827935788e-7,0.0
-14.57,-1.7816893126181135e-7,0.0
-14.56,-1.796870923668214e-7,0.0
-14.55,-1.8119824791686248e-7,0.0
-14.54,-1.827022034634386e-7,0.0
-14.53,-1.8419876379254642e-7,0.0
-14.52,-1.856877329301942e-7,0.0
-14.51,-1.8716891414798357e-7,0.0
-14.5,-1.8864210996874806e-7,0.0
-14.49,-1.9010712217224679e-7,0.0
-14.48,-1.915637518009214e-7,0.0
-14.47,-1.9301179916571524e-7,0.0
-14.46,-1.9445106385194454e-7,0.0
