x,V
-2152.092,0.0
-2151.092,0.0
-2150.092,0.0
-2149.092,0.0
-2148.092,0.0
-2147.092,0.0
-2146.092,0.0
-2145.092,0.0
-2144.092,0.0
-2143.092,0.0
-2142.092,0.0
-2141.092,0.0
-2140.092,0.0
-2139.092,0.0
-2138.092,0.0
-2137.092,0.0
-2136.092,0.0
-2135.092,0.0
-2134.092,0.0
-2133.092,0.0
-2132.092,0.0
-2131.092,0.0
-2130.092,0.0
-2129.092,0.0
-2128.092,0.0
-2127.092,0.0
-2126.092,0.0
-2125.092,0.0
-2124.092,0.0
-2123.092,0.0
-2122.092,0.0
-2121.092,0.0
-2120.092,0.0
-2119.092,0.0
-2118.092,0.0
-2117.092,0.0
-2116.092,0.0
-2115.092,0.0
-2114.092,0.0
-2113.092,0.0
-2112.092,0.0
-2111.092,0.0
-2110.092,0.0
-2109.092,0.0
-2108.092,0.0
-2107.092,0.0
-2106.092,0.0
-2105.092,0.0
-2104.092,0.0
-2103.092,0.0
-2102.092,0.0
-2101.092,0.0
-2100.092,0.0
-2099.092,0.0
-2098.092,0.0
-2097.092,0.0
-2096.092,0.0
-2095.092,0.0
-2094.092,0.0
-2093.092,0.0
-2092.092,0.0
-2091.092,0.0
-2090.092,0.0
-2089.092,0.0
-2088.092,0.0
-2087.092,0.0
-2086.092,0.0
-2085.092,0.0
-2084.092,0.0
-2083.092,0.0
-2082.092,0.0
-2081.092,0.0
-2080.092,0.0
-2079.092,0.0
-2078.092,0.0
-2077.092,0.0
-2076.092,0.0
-2075.092,0.0
-2074.092,0.0
-2073.092,0.0
-2072.092,0.0
-2071.092,0.0
-2070.092,0.0
-2069.092,0.0
-2068.092,0.0
-2067.092,0.0
-2066.092,0.0
-2065.092,0.0
-2064.092,0.0
-2063.092,0.0
-2062.092,0.0
-2061.092,0.0
-2060.092,0.0
-2059.092,0.0
-2058.092,0.0
-2057.092,0.0
-2056.092,0.0
-2055.092,0.0
-2054.092,0.0
-2053.092,0.0
-2052.092,0.0
-2051.092,0.0
-2050.092,0.0
-2049.092,0.0
-2048.092,0.0
-2047.092,0.0
-2046.092,0.0
-2045.092,0.0
